,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
09/05/2020 17:56:06,7.69230747,3.076923,0,13.0769253,5.96153736,44,44,44,44,45,2106.00073,2106.00073,2106.00073,2106.00073,3.34655046,2.37889934,0.00549937738,0.6870038,100.285751,65.2686,10.3547516,5.51007843,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:07,7.8125,10.15625,7.03125,5.46875,7.6171875,44,44,44,44,45,2106.001,2106.001,2106.001,2106.001,3.05058,2.10713577,0.00631907629,0.7302521,100.285767,65.26752,10.35458,5.51025,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346252
09/05/2020 17:56:08,3.90625,1.5625,5.46875,6.25,4.296875,43,44,43,44,45,2106.001,2106.001,2106.001,2106.001,2.82459736,1.89805377,0.006120799,0.773705363,100.285759,65.2646,10.3541183,5.51071167,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:09,17.1875,14.0625,15.625,17.96875,16.2109375,47,48,47,47,49,2106.00073,2106.00073,2106.00073,2106.00073,4.73014832,3.66247582,0.012825815,0.8665096,100.285744,65.34813,10.3673706,5.49745941,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:10,52.34375,56.25,39.0625,64.0625,52.9296875,49,50,48,48,50,2106.00073,2106.00073,2106.00073,2106.00073,9.877238,8.368424,0.0207835659,1.42768514,100.285744,65.48853,10.3896446,5.47518539,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:11,18.75,27.34375,31.25,35.9375,28.3203125,45,49,46,46,49,2106.00122,2106.00122,2106.00122,2106.00122,6.88335562,5.58858871,0.00762242358,0.9573518,100.285774,65.50888,10.3928719,5.471958,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:12,20.3125,33.59375,24.21875,35.15625,28.3203125,46,49,48,46,49,2106.001,2106.001,2106.001,2106.001,7.02259,5.71171,0.0195002984,0.977619,100.285759,65.42607,10.379734,5.485096,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:13,14.84375,38.28125,11.71875,14.84375,19.921875,48,48,46,46,48,2106.00073,2106.00073,2106.00073,2106.00073,5.4911623,4.28387642,0.00551887928,0.7651006,100.285744,65.41832,10.3785057,5.48632431,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:14,12.5,32.8125,9.375,17.1875,17.96875,46,47,46,46,48,2106.001,2106.001,2106.001,2106.001,5.45685434,4.24544,0.007035702,0.74845314,100.285759,65.42621,10.3797569,5.485073,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:15,17.96875,33.59375,21.09375,22.65625,23.828125,44,46,44,45,47,2106.00122,2106.00122,2106.00122,2106.00122,5.606464,4.407867,0.009696792,0.841534257,100.285774,65.35965,10.3691978,5.495632,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:16,9.375,10.15625,4.6875,9.375,8.3984375,44,45,44,44,46,2106.00073,2106.00073,2106.00073,2106.00073,3.53382182,2.50462651,0.006264455,0.693043351,100.285751,65.36098,10.3694077,5.49542236,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:17,6.25,7.03125,6.25,10.9375,7.6171875,44,45,44,44,45,2106.00122,2106.00122,2106.00122,2106.00122,2.80232263,1.85166514,0.00534595037,0.8013395,100.285767,65.35992,10.36924,5.49559,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
09/05/2020 17:56:18,4.6875,6.25,3.90625,7.8125,5.6640625,44,44,44,44,45,2106.00073,2106.00073,2106.00073,2106.00073,2.69806433,1.76919663,0.0056553,0.7027774,100.285744,65.35912,10.3691139,5.495716,0,405.000031,405.000031,810.000061,0,0,0,2048,37.9375,2010.0625,1.852417,31,76.8346558
